,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
3172,Kepler-1384 b,2.0,2.0,2.0,1.0,1,23.21798,23.21798,23.21798,Kepler-1384,Cyg,K,Transit,2016
3173,Kepler-1385 b,2.0,4.0,2.0,3.0,1,932.2233,932.2234,932.2234,Kepler-1385,Lyr,G,Transit,2016
3174,Kepler-1386 b,2.0,4.0,2.0,1.0,1,208.2012,208.2012,208.2013,Kepler-1386,Lyr,G,Transit,2016
3175,Kepler-1387 b,2.0,4.0,2.0,3.0,1,342.7459,342.746,342.7461,Kepler-1387,Cyg,K,Transit,2016
3176,Kepler-1388 b,2.0,3.0,1.0,1.0,1,11.80509,11.80509,11.80509,Kepler-1388,Lyr,K,Transit,2016
3177,Kepler-1388 c,2.0,2.0,2.0,1.0,1,34.17074,34.17075,34.17075,Kepler-1388,Lyr,K,Transit,2016
3178,Kepler-1388 d,2.0,3.0,1.0,1.0,1,5.791938,5.791939,5.791941,Kepler-1388,Lyr,K,Transit,2016
3179,Kepler-1388 e,2.0,2.0,2.0,2.0,1,2.65361,2.65361,2.653611,Kepler-1388,Lyr,K,Transit,2016
3180,Kepler-1389 b,2.0,2.0,2.0,1.0,1,2.136926,2.136926,2.136926,Kepler-1389,Lyr,K,Transit,2016
3181,Kepler-1390 b,2.0,4.0,2.0,3.0,1,206.838,206.838,206.838,Kepler-1390,Cyg,G,Transit,2016
3182,Kepler-1391 b,2.0,2.0,2.0,1.0,1,15.68625,15.68625,15.68625,Kepler-1391,Cyg,G,Transit,2016
3183,Kepler-1392 b,2.0,2.0,2.0,1.0,1,44.35926,44.35926,44.35927,Kepler-1392,Cyg,G,Transit,2016
3184,Kepler-1393 b,2.0,5.0,2.0,3.0,1,656.9221,656.9222,656.9222,Kepler-1393,Lyr,G,Transit,2016
3185,Kepler-1394 b,2.0,4.0,2.0,3.0,1,3109.126,3109.126,3109.127,Kepler-1394,Lyr,F,Transit,2016
3186,Kepler-1395 b,2.0,5.0,2.0,3.0,1,768.4607,768.4608,768.4608,Kepler-1395,Cyg,F,Transit,2016
3187,Kepler-1396 b,2.0,2.0,2.0,1.0,1,103.9849,103.9849,103.985,Kepler-1396,Cyg,F,Transit,2016
3188,Kepler-1397 b,2.0,2.0,2.0,1.0,1,21.30547,21.30548,21.30548,Kepler-1397,Cyg,F,Transit,2016
3189,Kepler-1398 b,2.0,4.0,2.0,3.0,1,1079.446,1079.446,1079.446,Kepler-1398,Cyg,F,Transit,2016
3190,Kepler-1398 c,2.0,4.0,2.0,3.0,1,637.5748,637.5749,637.575,Kepler-1398,Cyg,F,Transit,2016
3191,Kepler-1399 b,2.0,4.0,2.0,3.0,1,1234.193,1234.193,1234.193,Kepler-1399,Cyg,G,Transit,2016
3192,Kepler-1400 b,2.0,2.0,2.0,1.0,1,55.27092,55.27093,55.27093,Kepler-1400,Lyr,K,Transit,2016
3193,Kepler-1401 b,2.0,2.0,2.0,1.0,1,136.844,136.844,136.844,Kepler-1401,Lyr,G,Transit,2016
3194,Kepler-1402 b,2.0,5.0,2.0,3.0,1,635.3728,635.3729,635.3729,Kepler-1402,Cyg,G,Transit,2016
3195,Kepler-1403 b,2.0,2.0,2.0,1.0,1,433.3474,433.3474,433.3475,Kepler-1403,Lyr,F,Transit,2016
3196,Kepler-1404 b,2.0,2.0,2.0,1.0,1,32.1956,32.1956,32.19561,Kepler-1404,Cyg,K,Transit,2016
3197,Kepler-1405 b,2.0,3.0,1.0,1.0,1,37.24236,37.24236,37.24237,Kepler-1405,Cyg,G,Transit,2016
3198,Kepler-1406 b,2.0,4.0,2.0,3.0,1,130.1683,130.1684,130.1684,Kepler-1406,Cyg,G,Transit,2016
3199,Kepler-1407 b,2.0,2.0,2.0,1.0,1,69.56745,69.56746,69.56747,Kepler-1407,Lyr,F,Transit,2016
3200,Kepler-1408 b,2.0,4.0,2.0,3.0,1,1261.033,1261.033,1261.033,Kepler-1408,Lyr,F,Transit,2016
3201,Kepler-1409 b,2.0,4.0,2.0,3.0,1,1678.386,1678.387,1678.387,Kepler-1409,Cyg,K,Transit,2016
3202,Kepler-1410 b,3.0,2.0,2.0,1.0,2,1.344376,1.344376,1.344376,Kepler-1410,Lyr,K,Transit,2016
3203,Kepler-1411 b,2.0,3.0,1.0,1.0,1,5.555006,5.555006,5.555007,Kepler-1411,Lyr,G,Transit,2016
3204,Kepler-1412 b,2.0,5.0,2.0,3.0,1,783.4939,783.494,783.4941,Kepler-1412,Cyg,G,Transit,2016
3205,Kepler-1413 b,2.0,2.0,2.0,1.0,1,39.43274,39.43274,39.43274,Kepler-1413,Cyg,K,Transit,2016
3206,Kepler-1414 b,2.0,4.0,2.0,1.0,1,171.9275,171.9276,171.9276,Kepler-1414,Lyr,K,Transit,2016
3207,Kepler-1415 b,2.0,4.0,2.0,3.0,1,2512.428,2512.429,2512.429,Kepler-1415,Dra,K,Transit,2016
3208,Kepler-1416 b,2.0,4.0,2.0,3.0,1,2246.466,2246.467,2246.467,Kepler-1416,Cyg,F,Transit,2016
3209,Kepler-1417 b,2.0,4.0,2.0,3.0,1,50.34126,50.34126,50.34127,Kepler-1417,Lyr,G,Transit,2016
3210,Kepler-1418 b,2.0,2.0,2.0,1.0,1,11.80263,11.80263,11.80263,Kepler-1418,Lyr,K,Transit,2016
3211,Kepler-1419 b,2.0,3.0,1.0,1.0,1,18.05787,18.05788,18.05788,Kepler-1419,Cyg,G,Transit,2016
3212,Kepler-1420 b,2.0,4.0,2.0,1.0,1,95.68607,95.68608,95.6861,Kepler-1420,Cyg,K,Transit,2016
3213,Kepler-1421 b,2.0,4.0,2.0,3.0,1,498.038,498.038,498.0381,Kepler-1421,Dra,F,Transit,2016
3214,Kepler-1422 b,2.0,2.0,2.0,1.0,1,96.43951,96.43951,96.43952,Kepler-1422,Cyg,F,Transit,2016
3215,Kepler-1423 b,2.0,4.0,2.0,1.0,1,13.29211,13.29211,13.29211,Kepler-1423,Lyr,K,Transit,2016
3216,Kepler-1424 b,2.0,4.0,2.0,1.0,1,33.57835,33.57835,33.57836,Kepler-1424,Lyr,G,Transit,2016
3217,Kepler-1425 b,2.0,4.0,2.0,3.0,1,65.53259,65.53261,65.53262,Kepler-1425,Cyg,G,Transit,2016
3218,Kepler-1426 b,2.0,2.0,2.0,1.0,1,80.46981,80.46982,80.46983,Kepler-1426,Cyg,G,Transit,2016
3219,Kepler-1427 b,2.0,4.0,2.0,3.0,1,2789.318,2789.319,2789.319,Kepler-1427,Cyg,G,Transit,2016
3220,Kepler-1428 b,2.0,2.0,2.0,1.0,1,228.7377,228.7377,228.7377,Kepler-1428,Cyg,F,Transit,2016
3221,Kepler-1429 b,2.0,4.0,2.0,3.0,1,426.097,426.097,426.0972,Kepler-1429,Dra,G,Transit,2016
3222,Kepler-1430 b,2.0,4.0,2.0,3.0,1,230.3342,230.3342,230.3342,Kepler-1430,Lyr,K,Transit,2016
3223,Kepler-1431 b,2.0,4.0,2.0,1.0,1,261.8409,261.841,261.841,Kepler-1431,Cyg,G,Transit,2016
3224,Kepler-1432 b,2.0,2.0,2.0,1.0,1,54.26327,54.26327,54.26328,Kepler-1432,Cyg,F,Transit,2016
3225,Kepler-1433 b,2.0,2.0,2.0,1.0,1,632.9891,632.9891,632.9893,Kepler-1433,Cyg,F,Transit,2016
3226,Kepler-1434 b,2.0,4.0,2.0,3.0,1,731.9764,731.9766,731.9767,Kepler-1434,Cyg,F,Transit,2016
3227,Kepler-1435 b,2.0,4.0,2.0,3.0,1,801.0089,801.0089,801.009,Kepler-1435,Cyg,F,Transit,2016
3228,Kepler-1436 b,2.0,4.0,2.0,1.0,1,164.5491,164.5491,164.5492,Kepler-1436,Cyg,G,Transit,2016
3229,Kepler-1437 b,2.0,4.0,2.0,1.0,1,78.32957,78.32958,78.3296,Kepler-1437,Cyg,G,Transit,2016
3230,Kepler-1438 b,2.0,4.0,2.0,3.0,1,671.3669,671.367,671.3671,Kepler-1438,Lyr,G,Transit,2016
3231,Kepler-1439 b,2.0,4.0,2.0,1.0,1,7.357844,7.357844,7.357845,Kepler-1439,Lyr,M,Transit,2016
3232,Kepler-1440 b,2.0,4.0,2.0,1.0,1,16.94767,16.94767,16.94767,Kepler-1440,Dra,G,Transit,2016
3233,Kepler-1441 b,2.0,4.0,2.0,1.0,1,19.78047,19.78047,19.78048,Kepler-1441,Cyg,G,Transit,2016
3234,Kepler-1442 b,2.0,3.0,1.0,1.0,1,18.93802,18.93802,18.93802,Kepler-1442,Cyg,F,Transit,2016
3235,Kepler-1443 b,2.0,4.0,2.0,3.0,1,1622.324,1622.324,1622.325,Kepler-1443,Lyr,F,Transit,2016
3236,Kepler-1444 b,2.0,2.0,2.0,1.0,1,26.81519,26.81519,26.8152,Kepler-1444,Lyr,G,Transit,2016
3237,Kepler-1445 b,2.0,4.0,2.0,3.0,1,210.6802,210.6802,210.6802,Kepler-1445,Lyr,F,Transit,2016
3238,Kepler-1446 b,2.0,5.0,2.0,3.0,1,1393.893,1393.893,1393.894,Kepler-1446,Cyg,K,Transit,2016
3239,Kepler-1447 b,2.0,3.0,1.0,1.0,1,10.62858,10.62859,10.62859,Kepler-1447,Cyg,G,Transit,2016
3240,Kepler-1448 b,2.0,2.0,2.0,1.0,1,82.37032,82.37032,82.37034,Kepler-1448,Cyg,G,Transit,2016
3241,Kepler-1449 b,2.0,2.0,2.0,1.0,1,110.049,110.049,110.0491,Kepler-1449,Cyg,G,Transit,2016
3242,Kepler-1450 b,2.0,2.0,2.0,1.0,1,2.75959,2.75959,2.759591,Kepler-1450,Cyg,K,Transit,2016
3243,Kepler-1451 b,2.0,3.0,1.0,1.0,1,21.90241,21.90241,21.90241,Kepler-1451,Cyg,G,Transit,2016
3244,Kepler-1452 b,2.0,3.0,1.0,1.0,1,72.93472,72.93475,72.93476,Kepler-1452,Cyg,F,Transit,2016
3245,Kepler-1453 b,2.0,3.0,1.0,1.0,1,12.77317,12.77317,12.77317,Kepler-1453,Dra,G,Transit,2016
3246,Kepler-1454 b,2.0,2.0,2.0,1.0,1,9.648586,9.648587,9.648588,Kepler-1454,Dra,G,Transit,2016
3247,Kepler-1455 b,2.0,2.0,2.0,2.0,1,1.771059,1.771059,1.771059,Kepler-1455,Cyg,K,Transit,2016
3248,Kepler-1456 b,2.0,4.0,2.0,1.0,1,8.157179,8.15718,8.157181,Kepler-1456,Lyr,K,Transit,2016
3249,Kepler-1457 b,2.0,2.0,2.0,1.0,1,14.82454,14.82454,14.82455,Kepler-1457,Lyr,G,Transit,2016
3250,Kepler-1458 b,2.0,3.0,1.0,1.0,1,12.4612,12.4612,12.46121,Kepler-1458,Lyr,G,Transit,2016
3251,Kepler-1459 b,2.0,4.0,2.0,1.0,1,3.291723,3.291723,3.291723,Kepler-1459,Lyr,K,Transit,2016
3252,Kepler-1460 b,2.0,2.0,2.0,1.0,1,5.482474,5.482474,5.482475,Kepler-1460,Lyr,K,Transit,2016
3253,Kepler-1461 b,2.0,2.0,2.0,1.0,1,9.711571,9.711573,9.711575,Kepler-1461,Lyr,K,Transit,2016
3254,Kepler-1462 b,2.0,3.0,1.0,1.0,1,9.713696,9.713696,9.713696,Kepler-1462,Cyg,G,Transit,2016
3255,Kepler-1463 b,2.0,2.0,2.0,1.0,1,30.66491,30.66491,30.66492,Kepler-1463,Cyg,G,Transit,2016
3256,Kepler-1464 b,2.0,2.0,2.0,1.0,1,27.04033,27.04033,27.04034,Kepler-1464,Lyr,G,Transit,2016
3257,Kepler-1464 c,2.0,4.0,2.0,3.0,1,292.4966,292.4966,292.4966,Kepler-1464,Lyr,G,Transit,2016
3258,Kepler-1465 b,2.0,2.0,2.0,1.0,1,7.07806,7.07806,7.078062,Kepler-1465,Cyg,K,Transit,2016
3259,Kepler-1466 b,2.0,4.0,2.0,1.0,1,29.58953,29.58953,29.58954,Kepler-1466,Cyg,G,Transit,2016
3260,Kepler-1467 b,2.0,3.0,1.0,1.0,1,8.290146,8.290146,8.290147,Kepler-1467,Cyg,G,Transit,2016
3261,Kepler-1468 b,2.0,2.0,2.0,1.0,1,182.3954,182.3954,182.3954,Kepler-1468,Cyg,G,Transit,2016
3262,Kepler-1468 c,2.0,4.0,2.0,3.0,1,561.4761,561.4761,561.4763,Kepler-1468,Cyg,G,Transit,2016
3263,Kepler-1469 b,2.0,3.0,1.0,1.0,1,29.52287,29.52288,29.52289,Kepler-1469,Cyg,G,Transit,2016
3264,Kepler-1470 b,2.0,4.0,2.0,1.0,1,23.03062,23.03063,23.03063,Kepler-1470,Lyr,K,Transit,2016
3265,Kepler-1471 b,2.0,4.0,2.0,1.0,1,384.5724,384.5725,384.5725,Kepler-1471,Cyg,G,Transit,2016
3266,Kepler-1472 b,2.0,2.0,2.0,1.0,1,37.18641,37.18642,37.18642,Kepler-1472,Cyg,F,Transit,2016
3267,Kepler-1473 b,2.0,4.0,2.0,1.0,1,100.0145,100.0145,100.0145,Kepler-1473,Cyg,F,Transit,2016
3268,Kepler-1474 b,2.0,2.0,2.0,1.0,1,24.27367,24.27367,24.27367,Kepler-1474,Cyg,G,Transit,2016
3269,Kepler-1475 b,2.0,3.0,1.0,1.0,1,14.34998,14.34998,14.34998,Kepler-1475,Cyg,F,Transit,2016
3270,Kepler-1476 b,2.0,2.0,2.0,1.0,1,99.7039,99.7039,99.70393,Kepler-1476,Lyr,G,Transit,2016
3271,Kepler-1477 b,2.0,4.0,2.0,1.0,1,42.49217,42.49218,42.49218,Kepler-1477,Lyr,K,Transit,2016
3272,Kepler-1478 b,2.0,2.0,2.0,1.0,1,40.29136,40.29137,40.29137,Kepler-1478,Cyg,G,Transit,2016
3273,Kepler-1479 b,2.0,2.0,2.0,1.0,1,72.1032,72.10322,72.10323,Kepler-1479,Dra,G,Transit,2016
3274,Kepler-1480 b,2.0,2.0,2.0,1.0,1,19.49493,19.49493,19.49493,Kepler-1480,Cyg,K,Transit,2016
3275,Kepler-1481 b,2.0,4.0,2.0,1.0,1,82.46839,82.46839,82.46841,Kepler-1481,Cyg,K,Transit,2016
3276,Kepler-1482 b,2.0,4.0,2.0,3.0,1,53.43964,53.43965,53.43965,Kepler-1482,Dra,G,Transit,2016
3277,Kepler-1483 b,2.0,4.0,2.0,1.0,1,316.8871,316.8872,316.8872,Kepler-1483,Cyg,F,Transit,2016
3278,Kepler-1484 b,2.0,2.0,2.0,1.0,1,23.42986,23.42986,23.42986,Kepler-1484,Cyg,G,Transit,2016
3279,Kepler-1485 b,2.0,4.0,2.0,1.0,1,69.73354,69.73355,69.73356,Kepler-1485,Cyg,F,Transit,2016
3280,Kepler-1486 b,2.0,2.0,2.0,1.0,1,17.0484,17.0484,17.0484,Kepler-1486,Cyg,G,Transit,2016
3281,Kepler-1487 b,2.0,2.0,2.0,1.0,1,647.0396,647.0396,647.0397,Kepler-1487,Cyg,F,Transit,2016
3282,Kepler-1488 b,2.0,2.0,2.0,1.0,1,32.84923,32.84923,32.84924,Kepler-1488,Dra,G,Transit,2016
3283,Kepler-1489 b,2.0,2.0,2.0,1.0,1,5.692041,5.692041,5.692043,Kepler-1489,Lyr,G,Transit,2016
3284,Kepler-1490 b,2.0,3.0,1.0,1.0,1,4.211849,4.21185,4.21185,Kepler-1490,Cyg,G,Transit,2016
3285,Kepler-1491 b,2.0,4.0,2.0,1.0,1,58.45542,58.45542,58.45543,Kepler-1491,Cyg,G,Transit,2016
3286,Kepler-1492 b,2.0,4.0,2.0,1.0,1,16.63113,16.63113,16.63114,Kepler-1492,Lyr,K,Transit,2016
3287,Kepler-1493 b,2.0,4.0,2.0,1.0,1,119.5905,119.5905,119.5905,Kepler-1493,Lyr,G,Transit,2016
3288,Kepler-1494 b,2.0,3.0,1.0,1.0,1,5.325215,5.325216,5.325217,Kepler-1494,Lyr,G,Transit,2016
3289,Kepler-1495 b,2.0,3.0,1.0,1.0,1,7.654805,7.654806,7.654807,Kepler-1495,Lyr,G,Transit,2016
3290,Kepler-1496 b,2.0,2.0,2.0,1.0,1,19.05033,19.05034,19.05034,Kepler-1496,Cyg,F,Transit,2016
3291,Kepler-1497 b,2.0,2.0,2.0,1.0,1,125.1756,125.1756,125.1756,Kepler-1497,Cyg,G,Transit,2016
3292,Kepler-1498 b,2.0,4.0,2.0,1.0,1,7.427711,7.427711,7.427712,Kepler-1498,Lyr,K,Transit,2016
3293,Kepler-1499 b,2.0,4.0,2.0,1.0,1,7.028603,7.028604,7.028604,Kepler-1499,Lyr,K,Transit,2016
3294,Kepler-1500 b,2.0,4.0,2.0,1.0,1,73.7249,73.72491,73.72491,Kepler-1500,Lyr,G,Transit,2016
3295,Kepler-1501 b,2.0,2.0,2.0,1.0,1,148.5602,148.5602,148.5602,Kepler-1501,Lyr,F,Transit,2016
3296,Kepler-1502 b,2.0,3.0,1.0,1.0,1,74.21921,74.21921,74.21922,Kepler-1502,Cyg,F,Transit,2016
3297,Kepler-1503 b,2.0,2.0,2.0,2.0,1,2.288991,2.288991,2.288992,Kepler-1503,Cyg,K,Transit,2016
3298,Kepler-1504 b,2.0,2.0,2.0,1.0,1,4.048758,4.048759,4.048759,Kepler-1504,Cyg,G,Transit,2016
3299,Kepler-1505 b,2.0,4.0,2.0,3.0,1,19.64389,19.64389,19.6439,Kepler-1505,Lyr,G,Transit,2016
3300,Kepler-1506 b,2.0,4.0,2.0,1.0,1,64.3171,64.31712,64.31713,Kepler-1506,Lyr,G,Transit,2016
3301,Kepler-1507 b,2.0,5.0,2.0,3.0,1,38.71819,38.71819,38.7182,Kepler-1507,Cyg,G,Transit,2016
3302,Kepler-1508 b,2.0,4.0,2.0,1.0,1,80.84019,80.84019,80.84022,Kepler-1508,Cyg,F,Transit,2016
3303,Kepler-1509 b,2.0,2.0,2.0,1.0,1,34.27444,34.27444,34.27444,Kepler-1509,Lyr,G,Transit,2016
3304,Kepler-1510 b,2.0,3.0,1.0,1.0,1,13.58171,13.58172,13.58172,Kepler-1510,Cyg,F,Transit,2016
3305,Kepler-1511 b,2.0,2.0,2.0,1.0,1,71.61835,71.61835,71.61837,Kepler-1511,Lyr,F,Transit,2016
3306,Kepler-1512 b,2.0,4.0,2.0,1.0,1,8.527657,8.527658,8.52766,Kepler-1512,Cyg,K,Transit,2016
3307,Kepler-1513 b,2.0,1.0,1.0,2.0,1,2.525353,2.525353,2.525354,Kepler-1513,Lyr,G,Transit,2016
3308,Kepler-1514 b,2.0,1.0,,,1,3.578517,3.578517,3.578518,Kepler-1514,Cyg,F,Transit,2016
3309,Kepler-1515 b,2.0,1.0,1.0,2.0,1,5.481216,5.481217,5.481218,Kepler-1515,Cyg,F,Transit,2016
3310,Kepler-1516 b,2.0,2.0,2.0,1.0,1,225.9471,225.9471,225.9472,Kepler-1516,Cyg,G,Transit,2016
3311,Kepler-1517 b,2.0,1.0,1.0,1.0,1,1615.817,1615.817,1615.817,Kepler-1517,Lyr,F,Transit,2016
3312,Kepler-1518 b,2.0,3.0,1.0,3.0,1,1549.378,1549.378,1549.378,Kepler-1518,Cyg,F,Transit,2016
3313,Kepler-1519 b,3.0,1.0,1.0,2.0,1,1.369862,1.369862,1.369862,Kepler-1519,Cyg,G,Transit,2016
3314,Kepler-1520 b,2.0,3.0,1.0,1.0,1,1196.758,1196.758,1196.758,Kepler-1520,Cyg,K,Transit,2016
3315,Kepler-1521 b,2.0,2.0,2.0,2.0,1,5.910576,5.910576,5.910578,Kepler-1521,Cyg,K,Transit,2016
3316,Kepler-1522 b,2.0,2.0,2.0,1.0,1,973.6771,973.6772,973.6773,Kepler-1522,Cyg,G,Transit,2016
3317,Kepler-1523 b,2.0,2.0,2.0,1.0,1,2545.467,2545.467,2545.468,Kepler-1523,Cyg,G,Transit,2016
3318,Kepler-1524 b,2.0,3.0,1.0,1.0,1,16.36165,16.36165,16.36166,Kepler-1524,Cyg,F,Transit,2016
3319,Kepler-1525 b,2.0,4.0,2.0,3.0,1,815.5963,815.5964,815.5966,Kepler-1525,Cyg,G,Transit,2016
3320,Kepler-1526 b,2.0,2.0,2.0,1.0,1,100.1681,100.1681,100.1681,Kepler-1526,Lyr,K,Transit,2016
3321,Kepler-1527 b,2.0,3.0,1.0,1.0,1,6.205972,6.205974,6.205975,Kepler-1527,Cyg,F,Transit,2016
3322,Kepler-1528 b,2.0,4.0,2.0,3.0,1,1318.838,1318.838,1318.839,Kepler-1528,Lyr,G,Transit,2016
3323,Kepler-1529 b,2.0,2.0,2.0,1.0,1,111.2722,111.2723,111.2723,Kepler-1529,Lyr,K,Transit,2016
3324,Kepler-1530 b,2.0,2.0,2.0,1.0,1,485.2695,485.2695,485.2696,Kepler-1530,Cyg,G,Transit,2016
3325,Kepler-1530 c,2.0,2.0,2.0,1.0,1,185.7668,185.7668,185.7668,Kepler-1530,Cyg,G,Transit,2016
3326,Kepler-1531 b,2.0,4.0,2.0,3.0,1,4422.53,4422.53,4422.531,Kepler-1531,Lyr,F,Transit,2016
3327,Kepler-1532 b,2.0,4.0,2.0,3.0,1,1637.885,1637.885,1637.886,Kepler-1532,Cyg,G,Transit,2016
3328,Kepler-1533 b,2.0,3.0,1.0,1.0,1,3.661529,3.66153,3.66153,Kepler-1533,Cyg,F,Transit,2016
3329,Kepler-1534 b,2.0,2.0,2.0,1.0,1,159.5441,159.5441,159.5441,Kepler-1534,Cyg,G,Transit,2016
3330,Kepler-1535 b,2.0,2.0,1.0,1.0,1,5.009427,5.009428,5.009428,Kepler-1535,Lyr,F,Transit,2016
3331,Kepler-1536 b,1.0,3.0,1.0,1.0,1,0.1960458,0.1960459,0.1960459,Kepler-1536,Cyg,K,Transit,2016
3332,Kepler-1537 b,2.0,4.0,2.0,3.0,1,651.6836,651.6837,651.6838,Kepler-1537,Cyg,K,Transit,2016
3333,Kepler-1538 b,2.0,3.0,1.0,1.0,1,2.887813,2.887813,2.887814,Kepler-1538,Lyr,G,Transit,2016
3334,Kepler-1539 b,2.0,3.0,1.0,1.0,1,1.775764,1.775764,1.775765,Kepler-1539,Lyr,K,Transit,2016
3335,Kepler-1540 b,3.0,2.0,2.0,2.0,2,0.9229547,0.9229549,0.9229552,Kepler-1540,Lyr,K,Transit,2016
3336,Kepler-1541 b,2.0,4.0,2.0,1.0,1,77.42004,77.42004,77.42004,Kepler-1541,Dra,K,Transit,2016
3337,Kepler-1542 b,2.0,5.0,2.0,3.0,1,367.2571,367.2571,367.2573,Kepler-1542,Lyr,G,Transit,2016
3338,Kepler-1542 c,2.0,5.0,2.0,3.0,1,556.7078,556.7078,556.7078,Kepler-1542,Lyr,G,Transit,2016
3339,Kepler-1542 d,2.0,4.0,2.0,3.0,1,210.7515,210.7516,210.7516,Kepler-1542,Lyr,G,Transit,2016
3340,Kepler-1542 e,2.0,5.0,2.0,3.0,1,261.2438,261.2439,261.2439,Kepler-1542,Lyr,G,Transit,2016
3341,Kepler-1543 b,2.0,3.0,1.0,3.0,1,713.3553,713.3554,713.3555,Kepler-1543,Cyg,F,Transit,2016
3342,Kepler-1544 b,3.0,2.0,2.0,1.0,2,0.9021728,0.9021729,0.902173,Kepler-1544,Cyg,K,Transit,2016
3343,Kepler-1545 b,3.0,3.0,1.0,1.0,1,1.376704,1.376704,1.376705,Kepler-1545,Cyg,K,Transit,2016
3344,Kepler-1546 b,2.0,3.0,1.0,1.0,1,39.68494,39.68494,39.68494,Kepler-1546,Cyg,G,Transit,2016
3345,Kepler-1547 b,2.0,4.0,2.0,3.0,1,6733.459,6733.461,6733.461,Kepler-1547,Lyr,F,Transit,2016
3346,Kepler-1548 b,2.0,3.0,1.0,1.0,1,3.771944,3.771944,3.771944,Kepler-1548,Lyr,G,Transit,2016
3347,Kepler-1549 b,3.0,3.0,1.0,1.0,1,1.124037,1.124037,1.124038,Kepler-1549,Lyr,G,Transit,2016
3348,Kepler-1550 b,2.0,3.0,1.0,1.0,1,2.589305,2.589306,2.589306,Kepler-1550,Lyr,G,Transit,2016
3349,Kepler-1551 b,2.0,3.0,1.0,1.0,1,63.68481,63.68482,63.68483,Kepler-1551,Cyg,F,Transit,2016
3350,Kepler-1552 b,3.0,2.0,2.0,2.0,2,1.105641,1.105641,1.105641,Kepler-1552,Lyr,K,Transit,2016
3351,Kepler-1553 b,2.0,4.0,2.0,3.0,1,195.0811,195.0811,195.0812,Kepler-1553,Lyr,K,Transit,2016
3352,Kepler-1554 b,3.0,3.0,1.0,1.0,1,1.1775,1.177501,1.177501,Kepler-1554,Lyr,K,Transit,2016
3353,Kepler-1555 b,2.0,2.0,2.0,1.0,1,186.562,186.562,186.5621,Kepler-1555,Lyr,G,Transit,2016
3354,Kepler-1556 b,2.0,2.0,2.0,1.0,1,117.0242,117.0242,117.0243,Kepler-1556,Lyr,G,Transit,2016
3355,Kepler-1557 b,2.0,4.0,2.0,1.0,1,713.1526,713.1528,713.1528,Kepler-1557,Cyg,F,Transit,2016
3356,Kepler-1558 b,2.0,5.0,2.0,3.0,1,210.6165,210.6165,210.6166,Kepler-1558,Lyr,K,Transit,2016
3357,Kepler-1559 b,2.0,5.0,2.0,3.0,1,1445.444,1445.444,1445.445,Kepler-1559,Cyg,G,Transit,2016
3358,Kepler-1560 b,2.0,4.0,2.0,3.0,1,626.9587,626.9588,626.9589,Kepler-1560,Cyg,G,Transit,2016
3359,Kepler-1561 b,2.0,4.0,2.0,3.0,1,3451.681,3451.681,3451.682,Kepler-1561,Cyg,G,Transit,2016
3360,Kepler-1562 b,2.0,3.0,1.0,1.0,1,10.9017,10.9017,10.9017,Kepler-1562,Cyg,G,Transit,2016
3361,Kepler-1563 b,2.0,5.0,2.0,3.0,1,489.9436,489.9437,489.9438,Kepler-1563,Cyg,G,Transit,2016
3362,Kepler-1564 b,2.0,4.0,2.0,1.0,1,39.28318,39.2832,39.28321,Kepler-1564,Cyg,G,Transit,2016
3363,Kepler-1565 b,2.0,4.0,2.0,3.0,1,502.9628,502.9628,502.9628,Kepler-1565,Cyg,K,Transit,2016
3364,Kepler-1566 b,2.0,5.0,2.0,3.0,1,2993.51,2993.51,2993.51,Kepler-1566,Lyr,K,Transit,2016
3365,Kepler-1567 b,2.0,3.0,1.0,1.0,1,2.598965,2.598965,2.598966,Kepler-1567,Lyr,G,Transit,2016
3366,Kepler-1568 b,2.0,4.0,2.0,1.0,1,68.38081,68.38081,68.38084,Kepler-1568,Cyg,G,Transit,2016
3367,Kepler-1569 b,2.0,2.0,2.0,1.0,1,606.7762,606.7764,606.7765,Kepler-1569,Cyg,F,Transit,2016
3368,Kepler-1570 b,2.0,4.0,2.0,1.0,1,23.509,23.509,23.50901,Kepler-1570,Cyg,G,Transit,2016
3369,Kepler-1571 b,2.0,4.0,2.0,1.0,1,1219.903,1219.903,1219.903,Kepler-1571,Cyg,F,Transit,2016
3370,Kepler-1572 b,2.0,4.0,2.0,3.0,1,221.7118,221.7119,221.7119,Kepler-1572,Lyr,G,Transit,2016
3371,Kepler-1573 b,2.0,4.0,2.0,3.0,1,735.0216,735.0218,735.022,Kepler-1573,Cyg,G,Transit,2016
3372,Kepler-1574 b,2.0,4.0,2.0,1.0,1,239.267,239.2671,239.2671,Kepler-1574,Cyg,G,Transit,2016
3373,Kepler-1575 b,2.0,4.0,2.0,3.0,1,606.6573,606.6575,606.6575,Kepler-1575,Cyg,G,Transit,2016
3374,Kepler-1576 b,2.0,4.0,2.0,3.0,1,227.589,227.5891,227.5891,Kepler-1576,Lyr,G,Transit,2016
3375,Kepler-1577 b,2.0,4.0,2.0,1.0,1,72.64885,72.64886,72.64886,Kepler-1577,Cyg,K,Transit,2016
