,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
1340,Kepler-90 d,2.0,3.0,1.0,1.0,1,15.60167,15.60167,15.60167,Kepler-90,Dra,G,Primary Transit,2013
1341,Kepler-90 e,2.0,3.0,1.0,1.0,1,9.05675,9.05675,9.056753,Kepler-90,Dra,G,Primary Transit,2013
1342,Kepler-90 f,2.0,3.0,1.0,1.0,1,6.797513,6.934422,7.074865,Kepler-90,Dra,G,Primary Transit,2013
1343,Kepler-90 g,2.0,1.0,1.0,2.0,1,3.169234,3.169234,3.169235,Kepler-90,Dra,G,Primary Transit,2013
1344,Kepler-90 h,3.0,1.0,1.0,2.0,1,1.566131,1.566131,1.566132,Kepler-90,Dra,G,Primary Transit,2013
1345,Kepler-90 i,2.0,4.0,2.0,1.0,1,39.94027,39.94027,39.94028,Kepler-90,Dra,G,Primary Transit,2017
1346,Kepler-91 b,2.0,1.0,1.0,1.0,1,2590.981,2950.526,3374.875,Kepler-91,Lyr,K,Primary Transit,2013
1347,Kepler-92 b,2.0,3.0,3.0,1.0,1,160.2517,222.5764,318.3864,Kepler-92,Lyr,G,Primary Transit,2013
1348,Kepler-92 c,2.0,2.0,4.0,1.0,1,83.60589,90.49706,98.117,Kepler-92,Lyr,G,Primary Transit,2013
1349,Kepler-92 d,2.0,2.0,2.0,1.0,1,34.85522,40.00123,46.13609,Kepler-92,Lyr,G,Primary Transit,2015
1350,Kepler-93 b,2.0,4.0,2.0,1.0,1,278.6089,278.6089,278.609,Kepler-93,Lyr,G,Primary Transit,2014
1351,Kepler-94 b,2.0,3.0,1.0,1.0,1,238.8539,238.8539,238.854,Kepler-94,Lyr,K,Primary Transit,2014
1352,Kepler-94 c,1.0,1.0,1.0,2.0,1,0.1060468,0.1060468,0.1060468,Kepler-94,Lyr,K,Radial Velocity,2014
1353,Kepler-95 b,2.0,3.0,4.0,1.0,1,179.3888,179.3888,179.3888,Kepler-95,Lyr,G,Primary Transit,2014
1354,Kepler-96 b,2.0,2.0,4.0,1.0,1,62.15254,62.15255,62.15255,Kepler-96,Cyg,G,Primary Transit,2014
1355,Kepler-100 b,2.0,4.0,5.0,1.0,1,344.6292,443.7721,581.3266,Kepler-100,Lyr,G,Primary Transit,2014
1356,Kepler-100 c,2.0,4.0,1.0,3.0,1,184.7755,192.275,200.163,Kepler-100,Lyr,G,Primary Transit,2014
1357,Kepler-100 d,2.0,4.0,3.0,1.0,1,26.11889,53.75992,129.3627,Kepler-100,Lyr,G,Primary Transit,2014
1358,Kepler-101 b,2.0,3.0,1.0,1.0,1,1045.348,1045.348,1045.349,Kepler-101,Dra,G,Primary Transit,2014
1359,Kepler-101 c,2.0,4.0,2.0,3.0,1,520.8656,520.8656,520.8657,Kepler-101,Dra,G,Primary Transit,2014
1360,Kepler-102 b,2.0,5.0,5.0,3.0,1,91.62432,91.62434,91.62435,Kepler-102,Lyr,K,Primary Transit,2014
1361,Kepler-102 c,2.0,5.0,5.0,1.0,1,61.74284,61.74284,61.74286,Kepler-102,Lyr,K,Primary Transit,2013
1362,Kepler-102 d,2.0,4.0,2.0,1.0,1,37.12103,37.12103,37.12104,Kepler-102,Lyr,K,Primary Transit,2014
1363,Kepler-102 e,2.0,2.0,3.0,1.0,1,20.24718,20.24718,20.24718,Kepler-102,Lyr,K,Primary Transit,2013
1364,Kepler-102 f,2.0,4.0,2.0,1.0,1,10.18048,10.18048,10.18048,Kepler-102,Lyr,K,Primary Transit,2013
1365,Kepler-103 b,2.0,2.0,1.0,1.0,1,127.4984,135.3199,143.755,Kepler-103,Lyr,G,Primary Transit,2014
1366,Kepler-103 c,2.0,3.0,1.0,1.0,1,5.157349,5.366673,5.58684,Kepler-103,Lyr,G,Primary Transit,2014
1367,Kepler-104 b,2.0,3.0,1.0,1.0,1,196.8567,196.8567,196.8568,Kepler-104,Lyr,G,Primary Transit,2014
1368,Kepler-104 c,2.0,3.0,1.0,1.0,1,74.30586,74.30586,74.30587,Kepler-104,Lyr,G,Primary Transit,2014
1369,Kepler-104 d,2.0,3.0,1.0,1.0,1,26.33538,26.33539,26.3354,Kepler-104,Lyr,G,Primary Transit,2014
1370,Kepler-105 c,2.0,4.0,2.0,1.0,1,277.0645,277.0645,277.0645,Kepler-105,Lyr,G,Primary Transit,2014
1371,Kepler-106 b,2.0,6.0,4.0,3.0,1,264.0607,264.0608,264.0608,Kepler-106,Cyg,G,Primary Transit,2014
1372,Kepler-106 c,2.0,2.0,3.0,1.0,1,92.21342,92.21343,92.21344,Kepler-106,Cyg,G,Primary Transit,2014
1373,Kepler-106 d,2.0,4.0,5.0,1.0,1,43.16492,43.16493,43.16494,Kepler-106,Cyg,G,Primary Transit,2014
1374,Kepler-106 e,2.0,3.0,3.0,1.0,1,19.30699,19.30699,19.307,Kepler-106,Cyg,G,Primary Transit,2014
1375,Kepler-107 b,2.0,2.0,2.0,1.0,1,1037.89,1080.016,1124.323,Kepler-107,Cyg,G,Primary Transit,2014
1376,Kepler-107 c,2.0,2.0,2.0,1.0,1,577.2351,600.6637,625.3057,Kepler-107,Cyg,G,Primary Transit,2014
1377,Kepler-107 d,2.0,4.0,2.0,3.0,1,239.2571,313.9926,420.3625,Kepler-107,Cyg,G,Primary Transit,2014
1378,Kepler-107 e,2.0,3.0,1.0,1.0,1,132.8148,138.2054,143.8753,Kepler-107,Cyg,G,Primary Transit,2014
1379,Kepler-108 b,2.0,1.0,1.0,2.0,1,39.82743,60.75702,97.41682,Kepler-108,Cyg,G,Primary Transit,2014
1380,Kepler-108 c,2.0,1.0,1.0,2.0,1,8.988112,9.728952,10.54814,Kepler-108,Cyg,G,Primary Transit,2014
1381,Kepler-109 b,2.0,4.0,1.0,3.0,1,285.1175,426.887,668.7512,Kepler-109,Lyr,G,Primary Transit,2014
1382,Kepler-109 c,2.0,4.0,1.0,3.0,1,80.91666,85.88062,91.2339,Kepler-109,Lyr,G,Primary Transit,2014
1383,Kepler-110 b,2.0,2.0,2.0,1.0,1,130.7684,130.7685,130.7685,Kepler-110,Cyg,G,Primary Transit,2014
